id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
103014,2,14,Late night snack,10,Star Wars,Soda,Friends,A little (mild),Pizza
103151,3,15,Week day lunch;Week day dinner;Weekend lunch,11,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
103288,4,3,Weekend dinner;At a party,12,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
103425,5,4,Week day lunch,13,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
103562,1,5,Week day dinner,14,Pulp Fiction,Iced Tea,Parents,None,Sushi
103699,2,6,Weekend lunch;At a party,15,The Godfather,Beer,Friends,A little (mild),Shawarma
103836,3,7,Late night snack,16,Forrest Gump,Wine,Siblings;Friends,A moderate amount (medium),Pizza
103973,4,8,Week day lunch;Week day dinner;Weekend lunch,17,Gladiator,Orange juice,Teachers,A lot (hot),Sushi
104110,5,9,Weekend dinner;At a party,18,Casablanca,Coffee,Strangers,I will have some of this food item with my hot sauce,Shawarma
104247,1,10,Week day lunch,19,The Avengers,Water,Parents,None,Pizza
104384,2,11,Week day dinner,20,Inception,Soda,Friends,A little (mild),Sushi
104521,3,12,Weekend lunch;At a party,21,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
104658,4,13,Late night snack,5,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
104795,5,14,Week day lunch;Week day dinner;Weekend lunch,6,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
104932,1,15,Weekend dinner;At a party,7,Jurassic Park,Iced Tea,Parents,None,Shawarma
105069,2,3,Week day lunch,8,Star Wars,Beer,Friends,A little (mild),Pizza
105206,3,4,Week day dinner,9,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
105343,4,5,Weekend lunch;At a party,10,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
105480,5,6,Late night snack,11,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
105617,1,7,Week day lunch;Week day dinner;Weekend lunch,12,Pulp Fiction,Water,Parents,None,Sushi
105754,2,8,Weekend dinner;At a party,13,The Godfather,Soda,Friends,A little (mild),Shawarma
105891,3,9,Week day lunch,14,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
106028,4,10,Week day dinner,15,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
106165,5,11,Weekend lunch;At a party,16,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
106302,1,12,Late night snack,17,The Avengers,Iced Tea,Parents,None,Pizza
106439,2,13,Week day lunch;Week day dinner;Weekend lunch,18,Inception,Beer,Friends,A little (mild),Sushi
106576,3,14,Weekend dinner;At a party,19,Titanic,Wine,Siblings;Friends,A moderate amount (medium),Shawarma
106713,4,15,Week day lunch,20,Spider-Man,Orange juice,Teachers,A lot (hot),Pizza
106850,5,3,Week day dinner,21,The Matrix,Coffee,Strangers,I will have some of this food item with my hot sauce,Sushi
106987,1,4,Weekend lunch;At a party,5,Jurassic Park,Water,Parents,None,Shawarma
107124,2,5,Late night snack,6,Star Wars,Soda,Friends,A little (mild),Pizza
107261,3,6,Week day lunch;Week day dinner;Weekend lunch,7,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
107398,4,7,Weekend dinner;At a party,8,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
107535,5,8,Week day lunch,9,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
107672,1,9,Week day dinner,10,Pulp Fiction,Iced Tea,Parents,None,Sushi
107809,2,10,Weekend lunch;At a party,11,The Godfather,Beer,Friends,A little (mild),Shawarma
107946,3,11,Late night snack,12,Forrest Gump,Wine,Siblings;Friends,A moderate amount (medium),Pizza
108083,4,12,Week day lunch;Week day dinner;Weekend lunch,13,Gladiator,Orange juice,Teachers,A lot (hot),Sushi
108220,5,13,Weekend dinner;At a party,14,Casablanca,Coffee,Strangers,I will have some of this food item with my hot sauce,Shawarma
108357,1,14,Week day lunch,15,The Avengers,Water,Parents,None,Pizza
108494,2,15,Week day dinner,16,Inception,Soda,Friends,A little (mild),Sushi
108631,3,3,Weekend lunch;At a party,17,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
108768,4,4,Late night snack,18,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
108905,5,5,Week day lunch;Week day dinner;Weekend lunch,19,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
109042,1,6,Weekend dinner;At a party,20,Jurassic Park,Iced Tea,Parents,None,Shawarma
109179,2,7,Week day lunch,21,Star Wars,Beer,Friends,A little (mild),Pizza
109316,3,8,Week day dinner,5,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
109453,4,9,Weekend lunch;At a party,6,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
109590,5,10,Late night snack,7,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
109727,1,11,Week day lunch;Week day dinner;Weekend lunch,8,Pulp Fiction,Water,Parents,None,Sushi
109864,2,12,Weekend dinner;At a party,9,The Godfather,Soda,Friends,A little (mild),Shawarma
110001,3,13,Week day lunch,10,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
110138,4,14,Week day dinner,11,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
110275,5,15,Weekend lunch;At a party,12,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
110412,1,3,Late night snack,13,The Avengers,Iced Tea,Parents,None,Pizza
110549,2,4,Week day lunch;Week day dinner;Weekend lunch,14,Inception,Beer,Friends,A little (mild),Sushi
110686,3,5,Weekend dinner;At a party,15,Titanic,Wine,Siblings;Friends,A moderate amount (medium),Shawarma
110823,4,6,Week day lunch,16,Spider-Man,Orange juice,Teachers,A lot (hot),Pizza
110960,5,7,Week day dinner,17,The Matrix,Coffee,Strangers,I will have some of this food item with my hot sauce,Sushi
111097,1,8,Weekend lunch;At a party,18,Jurassic Park,Water,Parents,None,Shawarma
111234,2,9,Late night snack,19,Star Wars,Soda,Friends,A little (mild),Pizza
111371,3,10,Week day lunch;Week day dinner;Weekend lunch,20,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
111508,4,11,Weekend dinner;At a party,21,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
111645,5,12,Week day lunch,5,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
111782,1,13,Week day dinner,6,Pulp Fiction,Iced Tea,Parents,None,Sushi
111919,2,14,Weekend lunch;At a party,7,The Godfather,Beer,Friends,A little (mild),Shawarma
112056,3,15,Late night snack,8,Forrest Gump,Wine,Siblings;Friends,A moderate amount (medium),Pizza
112193,4,3,Week day lunch;Week day dinner;Weekend lunch,9,Gladiator,Orange juice,Teachers,A lot (hot),Sushi
112330,5,4,Weekend dinner;At a party,10,Casablanca,Coffee,Strangers,I will have some of this food item with my hot sauce,Shawarma
112467,1,5,Week day lunch,11,The Avengers,Water,Parents,None,Pizza
112604,2,6,Week day dinner,12,Inception,Soda,Friends,A little (mild),Sushi
112741,3,7,Weekend lunch;At a party,13,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
112878,4,8,Late night snack,14,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
113015,5,9,Week day lunch;Week day dinner;Weekend lunch,15,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
113152,1,10,Weekend dinner;At a party,16,Jurassic Park,Iced Tea,Parents,None,Shawarma
113289,2,11,Week day lunch,17,Star Wars,Beer,Friends,A little (mild),Pizza
113426,3,12,Week day dinner,18,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
113563,4,13,Weekend lunch;At a party,19,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
113700,5,14,Late night snack,20,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
113837,1,15,Week day lunch;Week day dinner;Weekend lunch,21,Pulp Fiction,Water,Parents,None,Sushi
113974,2,3,Weekend dinner;At a party,5,The Godfather,Soda,Friends,A little (mild),Shawarma
114111,3,4,Week day lunch,6,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
114248,4,5,Week day dinner,7,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
114385,5,6,Weekend lunch;At a party,8,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
114522,1,7,Late night snack,9,The Avengers,Iced Tea,Parents,None,Pizza
114659,2,8,Week day lunch;Week day dinner;Weekend lunch,10,Inception,Beer,Friends,A little (mild),Sushi
114796,3,9,Weekend dinner;At a party,11,Titanic,Wine,Siblings;Friends,A moderate amount (medium),Shawarma
114933,4,10,Week day lunch,12,Spider-Man,Orange juice,Teachers,A lot (hot),Pizza
115070,5,11,Week day dinner,13,The Matrix,Coffee,Strangers,I will have some of this food item with my hot sauce,Sushi
115207,1,12,Weekend lunch;At a party,14,Jurassic Park,Water,Parents,None,Shawarma
115344,2,13,Late night snack,15,Star Wars,Soda,Friends,A little (mild),Pizza
115481,3,14,Week day lunch;Week day dinner;Weekend lunch,16,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
115618,4,15,Weekend dinner;At a party,17,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
115755,5,3,Week day lunch,18,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
115892,1,4,Week day dinner,19,Pulp Fiction,Iced Tea,Parents,None,Sushi
116029,2,5,Weekend lunch;At a party,20,The Godfather,Beer,Friends,A little (mild),Shawarma
116166,3,6,Late night snack,21,Forrest Gump,Wine,Siblings;Friends,A moderate amount (medium),Pizza
116303,4,7,Week day lunch;Week day dinner;Weekend lunch,5,Gladiator,Orange juice,Teachers,A lot (hot),Sushi
116440,5,8,Weekend dinner;At a party,6,Casablanca,Coffee,Strangers,I will have some of this food item with my hot sauce,Shawarma
116577,1,9,Week day lunch,7,The Avengers,Water,Parents,None,Pizza
116714,2,10,Week day dinner,8,Inception,Soda,Friends,A little (mild),Sushi
116851,3,11,Weekend lunch;At a party,9,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
116988,4,12,Late night snack,10,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
117125,5,13,Week day lunch;Week day dinner;Weekend lunch,11,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
117262,1,14,Weekend dinner;At a party,12,Jurassic Park,Iced Tea,Parents,None,Shawarma
117399,2,15,Week day lunch,13,Star Wars,Beer,Friends,A little (mild),Pizza
117536,3,3,Week day dinner,14,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
117673,4,4,Weekend lunch;At a party,15,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
117810,5,5,Late night snack,16,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
117947,1,6,Week day lunch;Week day dinner;Weekend lunch,17,Pulp Fiction,Water,Parents,None,Sushi
118084,2,7,Weekend dinner;At a party,18,The Godfather,Soda,Friends,A little (mild),Shawarma
118221,3,8,Week day lunch,19,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
118358,4,9,Week day dinner,20,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
118495,5,10,Weekend lunch;At a party,21,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
118632,1,11,Late night snack,5,The Avengers,Iced Tea,Parents,None,Pizza
118769,2,12,Week day lunch;Week day dinner;Weekend lunch,6,Inception,Beer,Friends,A little (mild),Sushi
118906,3,13,Weekend dinner;At a party,7,Titanic,Wine,Siblings;Friends,A moderate amount (medium),Shawarma
119043,4,14,Week day lunch,8,Spider-Man,Orange juice,Teachers,A lot (hot),Pizza
119180,5,15,Week day dinner,9,The Matrix,Coffee,Strangers,I will have some of this food item with my hot sauce,Sushi
119317,1,3,Weekend lunch;At a party,10,Jurassic Park,Water,Parents,None,Shawarma
119454,2,4,Late night snack,11,Star Wars,Soda,Friends,A little (mild),Pizza
119591,3,5,Week day lunch;Week day dinner;Weekend lunch,12,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
119728,4,6,Weekend dinner;At a party,13,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
119865,5,7,Week day lunch,14,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
120002,1,8,Week day dinner,15,Pulp Fiction,Iced Tea,Parents,None,Sushi
120139,2,9,Weekend lunch;At a party,16,The Godfather,Beer,Friends,A little (mild),Shawarma
120276,3,10,Late night snack,17,Forrest Gump,Wine,Siblings;Friends,A moderate amount (medium),Pizza
120413,4,11,Week day lunch;Week day dinner;Weekend lunch,18,Gladiator,Orange juice,Teachers,A lot (hot),Sushi
120550,5,12,Weekend dinner;At a party,19,Casablanca,Coffee,Strangers,I will have some of this food item with my hot sauce,Shawarma
120687,1,13,Week day lunch,20,The Avengers,Water,Parents,None,Pizza
120824,2,14,Week day dinner,21,Inception,Soda,Friends,A little (mild),Sushi
120961,3,15,Weekend lunch;At a party,5,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
121098,4,3,Late night snack,6,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
121235,5,4,Week day lunch;Week day dinner;Weekend lunch,7,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
121372,1,5,Weekend dinner;At a party,8,Jurassic Park,Iced Tea,Parents,None,Shawarma
121509,2,6,Week day lunch,9,Star Wars,Beer,Friends,A little (mild),Pizza
121646,3,7,Week day dinner,10,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
121783,4,8,Weekend lunch;At a party,11,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
121920,5,9,Late night snack,12,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
122057,1,10,Week day lunch;Week day dinner;Weekend lunch,13,Pulp Fiction,Water,Parents,None,Sushi
122194,2,11,Weekend dinner;At a party,14,The Godfather,Soda,Friends,A little (mild),Shawarma
122331,3,12,Week day lunch,15,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
122468,4,13,Week day dinner,16,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
122605,5,14,Weekend lunch;At a party,17,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
122742,1,15,Late night snack,18,The Avengers,Iced Tea,Parents,None,Pizza
122879,2,3,Week day lunch;Week day dinner;Weekend lunch,19,Inception,Beer,Friends,A little (mild),Sushi
123016,3,4,Weekend dinner;At a party,20,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
123153,4,5,Week day lunch,21,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
123290,5,6,Week day dinner,5,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
123427,1,7,Weekend lunch;At a party,6,Jurassic Park,Iced Tea,Parents,None,Shawarma
123564,2,8,Late night snack,7,Star Wars,Beer,Friends,A little (mild),Pizza
123701,3,9,Week day lunch;Week day dinner;Weekend lunch,8,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
123838,4,10,Weekend dinner;At a party,9,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
123975,5,11,Week day lunch,10,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
124112,1,12,Week day dinner;Weekend lunch;At a party,11,Pulp Fiction,Water,Parents,None,Sushi
124249,2,13,Weekend dinner;At a party,12,The Godfather,Soda,Friends,A little (mild),Shawarma
124386,3,14,Week day lunch,13,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
124523,4,15,Week day dinner;Weekend lunch;At a party,14,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
124660,5,3,Weekend dinner;At a party,15,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
124797,1,4,Week day lunch,16,The Avengers,Iced Tea,Parents,None,Pizza
124934,2,5,Week day dinner;Weekend lunch;At a party,17,Inception,Beer,Friends,A little (mild),Sushi
125071,3,6,Weekend dinner;At a party,18,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
125208,4,7,Week day lunch,19,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
125345,5,8,Week day dinner;Weekend lunch;At a party,20,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
125482,1,9,Weekend dinner;At a party,21,Jurassic Park,Iced Tea,Parents,None,Shawarma
125619,2,10,Week day lunch,5,Star Wars,Beer,Friends,A little (mild),Pizza
125756,3,11,Week day dinner;Weekend lunch;At a party,6,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
125893,4,12,Weekend dinner;At a party,7,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
126030,5,13,Week day lunch,8,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
126167,1,14,Week day dinner;Weekend lunch;At a party,9,Pulp Fiction,Water,Parents,None,Sushi
126304,2,15,Weekend dinner;At a party,10,The Godfather,Soda,Friends,A little (mild),Shawarma
126441,3,3,Week day lunch,11,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
126578,4,4,Week day dinner,12,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
126715,5,5,Weekend lunch;At a party,13,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
126852,1,6,Late night snack,14,The Avengers,Iced Tea,Parents,None,Pizza
126989,2,7,Week day lunch;Week day dinner;Weekend lunch,15,Inception,Beer,Friends,A little (mild),Sushi
127126,3,8,Weekend dinner;At a party,16,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
127263,4,9,Week day lunch,17,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
127400,5,10,Week day dinner;Weekend lunch;At a party,18,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
127537,1,11,Weekend dinner;At a party,19,Jurassic Park,Iced Tea,Parents,None,Shawarma
127674,2,12,Week day lunch,20,Star Wars,Beer,Friends,A little (mild),Pizza
127811,3,13,Week day dinner;Weekend lunch;At a party,21,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
127948,4,14,Weekend dinner;At a party,5,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
128085,5,15,Week day lunch,6,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
128222,1,3,Week day dinner;Weekend lunch;At a party,7,Pulp Fiction,Water,Parents,None,Sushi
128359,2,4,Weekend dinner;At a party,8,The Godfather,Soda,Friends,A little (mild),Shawarma
128496,3,5,Week day lunch,9,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
128633,4,6,Week day dinner,10,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
128770,5,7,Weekend lunch;At a party,11,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
128907,1,8,Late night snack,12,The Avengers,Iced Tea,Parents,None,Pizza
129044,2,9,Week day lunch;Week day dinner;Weekend lunch,13,Inception,Beer,Friends,A little (mild),Sushi
129181,3,10,Weekend dinner;At a party,14,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
129318,4,11,Week day lunch,15,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
129455,5,12,Week day dinner;Weekend lunch;At a party,16,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
129592,1,13,Weekend dinner;At a party,17,Jurassic Park,Iced Tea,Parents,None,Shawarma
129729,2,14,Week day lunch,18,Star Wars,Beer,Friends,A little (mild),Pizza
129866,3,15,Week day dinner;Weekend lunch;At a party,19,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
130003,4,3,Weekend dinner;At a party,20,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
130140,5,4,Week day lunch,21,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
130277,1,5,Week day dinner;Weekend lunch;At a party,5,Pulp Fiction,Water,Parents,None,Sushi
130414,2,6,Weekend dinner;At a party,6,The Godfather,Soda,Friends,A little (mild),Shawarma
130551,3,7,Week day lunch,7,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
130688,4,8,Week day dinner,8,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
130825,5,9,Weekend lunch;At a party,9,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
130962,1,10,Late night snack,10,The Avengers,Iced Tea,Parents,None,Pizza
131099,2,11,Week day lunch;Week day dinner;Weekend lunch,11,Inception,Beer,Friends,A little (mild),Sushi
131236,3,12,Weekend dinner;At a party,12,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
131373,4,13,Week day lunch,13,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
131510,5,14,Week day dinner;Weekend lunch;At a party,14,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
131647,1,15,Weekend dinner;At a party,15,Jurassic Park,Iced Tea,Parents,None,Shawarma
131784,2,3,Week day lunch,16,Star Wars,Beer,Friends,A little (mild),Pizza
131921,3,4,Week day dinner;Weekend lunch;At a party,17,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
132058,4,5,Weekend dinner;At a party,18,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
132195,5,6,Week day lunch,19,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
132332,1,7,Week day dinner;Weekend lunch;At a party,20,Pulp Fiction,Iced Tea,Parents,None,Sushi
132469,2,8,Weekend dinner;At a party,21,The Godfather,Beer,Friends,A little (mild),Shawarma
132606,3,9,Week day lunch,5,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
132743,4,10,Week day dinner,6,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
132880,5,11,Weekend lunch;At a party,7,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
133017,1,12,Late night snack,8,The Avengers,Iced Tea,Parents,None,Pizza
133154,2,13,Week day lunch;Week day dinner;Weekend lunch,9,Inception,Beer,Friends,A little (mild),Sushi
133291,3,14,Weekend dinner;At a party,10,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
133428,4,15,Week day lunch,11,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
133565,5,3,Week day dinner;Weekend lunch;At a party,12,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
133702,1,4,Weekend dinner;At a party,13,Jurassic Park,Iced Tea,Parents,None,Shawarma
133839,2,5,Week day lunch,14,Star Wars,Beer,Friends,A little (mild),Pizza
133976,3,6,Week day dinner;Weekend lunch;At a party,15,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
134113,4,7,Weekend dinner;At a party,16,Avatar,Pepsi,Teachers,A lot (hot),Shawarma
134250,5,8,Week day lunch,17,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Pizza
134387,1,9,Week day dinner;Weekend lunch;At a party,18,Pulp Fiction,Iced Tea,Parents,None,Sushi
134524,2,10,Weekend dinner;At a party,19,The Godfather,Beer,Friends,A little (mild),Shawarma
134661,3,11,Week day lunch,20,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
134798,4,12,Week day dinner;Weekend lunch;At a party,21,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
134935,5,13,Weekend dinner;At a party,5,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
135072,1,14,Week day lunch,6,The Avengers,Iced Tea,Parents,None,Pizza
135209,2,15,Week day dinner;Weekend lunch;At a party,7,Inception,Beer,Friends,A little (mild),Sushi
135346,3,3,Weekend dinner;At a party,8,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
135483,4,4,Week day lunch,9,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
135620,5,5,Week day dinner;Weekend lunch;At a party,10,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
135757,1,6,Weekend dinner;At a party,11,Jurassic Park,Iced Tea,Parents,None,Shawarma
135894,2,7,Week day lunch,12,Star Wars,Beer,Friends,A little (mild),Pizza
136031,3,8,Week day dinner;Weekend lunch;At a party,13,Toy Story,Coke,Siblings;Friends,A moderate amount (medium),Sushi
136168,4,9,Weekend dinner;At a party,14,Avatar,Pepsi,Teachers,A lot (hot),Pizza
136305,5,10,Week day lunch,15,Interstellar,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
136442,1,11,Week day dinner;Weekend lunch;At a party,16,Pulp Fiction,Iced Tea,Parents,None,Shawarma
136579,2,12,Weekend dinner;At a party,17,The Godfather,Beer,Friends,A little (mild),Pizza
136716,3,13,Week day lunch,18,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Sushi
