id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
602526,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,spider man 2,lemonade,"Parents,Siblings,Friends",None,Pizza
497421,4,4,"Weekend lunch,Weekend dinner,At a party",30,cloudy with a chance of meatballs,soft drink,Friends,None,Pizza
389328,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,goodfellas,wine,"Siblings,Friends",A moderate amount (medium),Pizza
289931,3,5,"Weekend lunch,Weekend dinner,At a party,Late night snack",7,a goofy movie (the disney movie),soda,Friends,A little (mild),Pizza
620148,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,dead silence,None,"Friends,Strangers",A moderate amount (medium),Pizza
387155,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,la la land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
516975,2,21,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,harry potter & the philosopher's stone,soda,Friends,None,Pizza
630825,3,6,"Week day dinner,At a party",8,transformer,soup,Parents,None,Pizza
614043,5,10,"Week day dinner,Weekend dinner,At a party,Late night snack",15,ninja turtles,soda,"Siblings,Friends",None,Pizza
521125,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3,high school musical 3,beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
627780,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8,despicable me,soda,"Friends,Teachers",None,Pizza
492744,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,teenage mutant ninja turtles,soda,"Parents,Friends",A little (mild),Pizza
618747,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.33,toy story,soft drink,Friends,None,Pizza
607815,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30,the godfather,soda,"Friends,Teachers",A little (mild),Pizza
601609,4,10,"Weekend dinner,At a party",6,spiderman,soda,Friends,None,Pizza
602657,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,pizza,soda,"Friends,Teachers",None,Pizza
616449,4,3,"Week day lunch,Week day dinner,Weekend dinner,At a party",5,teenage mutant ninja turtles,water,"Parents,Friends",A little (mild),Pizza
501893,4,5,"Weekend lunch,Weekend dinner,At a party",22.5,fast & furious,soda,"Siblings,Friends",None,Pizza
507448,3,5,"Weekend dinner,At a party,Late night snack",20,teenage mutant ninja turtles,soda,Friends,A little (mild),Pizza
606556,1,3,At a party,8,the garfield movie,cola,Teachers,A little (mild),Pizza
724326,3,11,"Week day lunch,Weekend lunch,At a party",3,"""spider-man: no way home""",tea,Friends,None,Pizza
616945,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,ratatouille,soda,Teachers,A moderate amount (medium),Pizza
630962,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10,five nights at freddies,soda,"Friends,Teachers",None,Pizza
715814,2,6,"Week day lunch,Week day dinner,At a party",11.49,"not exactly movies, but i would prefer to watch some tv series when i am having pizzas. if movies specifically, i may think of cartoon movies or more ""hero""/marvel related ones, like teenage mutant ninja turtles, movies in marvel series, etc..",soda,"Parents,Friends,Teachers",A little (mild),Pizza
502799,2,8,"Weekend dinner,At a party",10,back to the future,tea,"Parents,Siblings,Friends",None,Pizza
605278,2,4,"Weekend dinner,At a party,Late night snack",4,godfather,soda,"Friends,Teachers,Strangers",A little (mild),Pizza
388888,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,mystic pizza,soda,Friends,A little (mild),Pizza
519548,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,spider man 2,soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
405521,4,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,futurama,soda,Friends,A moderate amount (medium),Pizza
607410,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",13,iron man i,soda,"Siblings,Teachers",None,Pizza
715795,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",13,life of pi,chocolate beverage,"Parents,Friends,Teachers",None,Pizza
625326,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3,avengers,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
627220,3,5,"Week day lunch,Weekend dinner,At a party,Late night snack",6.5,despicable me,soda,Friends,A little (mild),Pizza
634964,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,spider-man,beer,"Parents,Friends",None,Pizza
722500,3,10,"Weekend lunch,Weekend dinner,At a party,Late night snack",15,home alone,soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
602824,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,any american movie,soda,"Parents,Siblings,Friends",None,Pizza
618355,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,king kong,soft drink,"Friends,Teachers,Strangers",None,Pizza
611097,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,home alone,soda,"Siblings,Friends",A little (mild),Pizza
634328,2,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,teenage mutant ninja turtles,soda,"Parents,Siblings,Friends",None,Pizza
607160,2,10,At a party,9,cloudy with a chance of meatballs,soda,Teachers,A little (mild),Pizza
728522,3,6,"Week day dinner,Weekend dinner,At a party,Late night snack",12,marvel movies,soda,"Siblings,Friends,Teachers",A lot (hot),Pizza
718570,3,5,"Week day lunch,Week day dinner,At a party",15,none,soda,"Friends,Strangers",None,Pizza
714598,4,5,"Week day dinner,At a party,Late night snack",4.5,the garfield movie,soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
601950,3,4,"Week day lunch,At a party,Late night snack",3,garfield,soda,Friends,None,Pizza
612478,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7,grown ups,soda,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
501416,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",11,n/a (i don't watch a lot of movies),soft drink,"Teachers,Strangers",A little (mild),Pizza
629710,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,deadpool,soda,"Parents,Siblings,Friends",A little (mild),Pizza
502610,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35,cloudy with a chance of meatball,soda,"Parents,Siblings,Friends",None,Pizza
603476,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,whiplash,soda,"Parents,Siblings,Friends",None,Pizza
600957,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,home alone,water,Siblings,None,Pizza
713423,5,15,"Week day dinner,Weekend dinner,At a party",15,inside out,soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,2,5,"Week day lunch,Week day dinner,Weekend lunch,At a party",20,teenage mutant ninja turtles.,juice,Friends,None,Pizza
633234,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,avengers,soda,"Siblings,Friends,Teachers",None,Pizza
148179,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,none,None,Friends,A little (mild),Pizza
715845,2,9,"Weekend dinner,At a party,Late night snack",20,cloudy with a chance of meatballs,soda,Friends,None,Pizza
632153,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,ratatouille,water,Friends,None,Pizza
606552,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,superbad,soda,"Parents,Siblings,Friends",A little (mild),Pizza
738409,3,4,At a party,3,stranger things,soft drink,"Teachers,Strangers",None,Pizza
612096,4,6,"Weekend dinner,At a party",4.99,ratatouille,soda,"Parents,Friends,Teachers",A lot (hot),Pizza
743537,3,5,"Week day lunch,Week day dinner,At a party,Late night snack",15,pizza (2012),soda,"Friends,Strangers",None,Pizza
632896,3,10,"Weekend lunch,At a party,Late night snack",7,home alone,soda,"Siblings,Friends,Strangers",A little (mild),Pizza
605207,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",12,teenage mutant ninja turtles,soda,Friends,None,Pizza
617542,4,3,"Week day dinner,Weekend dinner,At a party,Late night snack",13.5,ninja turtles,soda,Friends,A little (mild),Pizza
719554,3,3,"Week day lunch,Late night snack",5,none,juice,"Friends,Strangers",None,Pizza
627427,4,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",5,air bud,soda,"Friends,Strangers",A little (mild),Pizza
411315,4,7,"Week day lunch,At a party,Late night snack",6,deadpool,soda,"Friends,Strangers",A little (mild),Pizza
631507,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,a quiet place: day one (2024),soda,Friends,I will have some of this food item with my hot sauce,Pizza
627798,3,8,"Week day lunch,Weekend lunch,At a party,Late night snack",6,finding nemo,soda,Friends,A little (mild),Pizza
712093,4,10,"Week day lunch,Weekend lunch,At a party,Late night snack",15,avengers endgame,soft drink,"Teachers,Strangers",A little (mild),Pizza
627488,1,10,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",5,ratatouille,soda,"Friends,Teachers",A little (mild),Pizza
626493,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,my cousin vinny,water,"Parents,Siblings,Friends,Teachers",None,Pizza
601363,2,7,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,garfield,ginger ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
712898,4,8,"Weekend dinner,At a party,Late night snack",5,garfield,soda,Parents,None,Pizza
603398,3,10,"Weekend dinner,At a party,Late night snack",22.5,"eat, pray, love",soda,Friends,A moderate amount (medium),Pizza
631012,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,ratatouille,soda,"Parents,Siblings,Friends",None,Pizza
601848,3,6,"Week day lunch,Weekend dinner,At a party,Late night snack",7,ratatouille,soda,"Parents,Siblings,Friends,Teachers",None,Pizza
612131,2,5,"Week day dinner,Weekend dinner,At a party,Late night snack",2,home alone,soft drink,"Parents,Siblings,Teachers",A little (mild),Pizza
408630,3,5,"Week day lunch,Weekend lunch,At a party,Late night snack",5,five nights at freddy's,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
632091,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,no movie,soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
601122,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,home alone,soda,"Parents,Siblings,Friends,Strangers",None,Pizza
602871,2,5,"Week day lunch,At a party",10,spider-man 2,soda,Friends,A little (mild),Pizza
520828,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,teenage mutant ninja turtles,soda,"Siblings,Friends",A moderate amount (medium),Pizza
514199,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,none,tea,Friends,None,Pizza
389697,4,6,"Week day dinner,Weekend dinner,At a party,Late night snack",10,comedy,soda,"Friends,Teachers",A little (mild),Pizza
714430,3,10,"Week day lunch,Weekend lunch",10,iron man,juice,Friends,A little (mild),Pizza
612567,4,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",20,star wars,soda,"Siblings,Friends",A moderate amount (medium),Pizza
744468,3,3,"Week day lunch,At a party",3,spider-man,soda,Friends,None,Pizza
502722,3,6,"Weekend lunch,At a party",3,any teenage mutant ninja turtle movie,"cola,lemon drink","Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
519681,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,the dark knight,soda,Friends,None,Pizza
631125,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,home alone 2: lost in new york,soda,"Parents,Siblings",None,Pizza
606119,2,6,"Week day lunch,Weekend lunch,At a party,Late night snack",5,pulp fiction,soda,Friends,None,Pizza
627252,3,8,"Week day dinner,Weekend dinner,At a party",6,ninja turtles,water,"Siblings,Friends",None,Pizza
616568,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,fast and furious,soda,"Parents,Siblings,Friends",A little (mild),Pizza
603838,2,5,"Weekend lunch,Weekend dinner",10,teenage mutant ninja turtles,soda,Friends,A moderate amount (medium),Pizza
719735,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,spiderman 2,soda,Friends,A little (mild),Pizza
608062,2,10,"Weekend dinner,At a party",2.5,spider man,soda,"Friends,Teachers",None,Pizza
608704,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,home alone,soda,"Parents,Siblings,Friends,Teachers",None,Pizza
520383,2,3,"Week day lunch,Weekend dinner,At a party",3.5,i don't think of a movie when thinking of this food item,soda,"Friends,Teachers",A little (mild),Pizza
603793,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,home alone,soda,"Friends,Strangers",A moderate amount (medium),Pizza
603933,3,5,At a party,4.08,"""the truman show""",None,Friends,None,Pizza
605519,3,6,"Week day dinner,Weekend dinner,At a party,Late night snack",5,i think of home alone.,soda,"Friends,Teachers",A moderate amount (medium),Pizza
524803,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,breaking bad,soda,"Friends,Teachers",None,Pizza
629712,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17,interstellar,soda,Friends,A little (mild),Pizza
627505,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3,rush hour,soda,"Parents,Siblings",None,Pizza
526131,3,4,"Week day lunch,Weekend lunch,At a party,Late night snack",10,"i think about movies like ""holes"" or ""shrek"", since it reminds me of the movies teachers would put on for us during school events.",soft drink,"Friends,Teachers",None,Pizza
607065,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,scooby doo,soda,"Siblings,Friends",A little (mild),Pizza
500077,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,back to the future 2,soda,Teachers,None,Pizza
633350,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,ratatouille,soda,"Friends,Teachers,Strangers",A little (mild),Pizza
601945,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22,princess diaries (the apology scene),soda,"Parents,Friends,Teachers",A little (mild),Pizza
629878,3,3,"Weekend lunch,Weekend dinner,At a party",3.5,wall-e,water,Friends,A little (mild),Pizza
712766,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.5,home alone,soft drink,"Siblings,Friends,Teachers",None,Pizza
603664,2,8,"Week day lunch,At a party",16,ratatouille,soda,Strangers,None,Pizza
840827,3,6,Week day dinner,25,avengers,soda,Friends,None,Pizza
604897,3,15,"Weekend lunch,At a party",25,teenage mutant ninja turtles,soda,"Friends,Teachers,Strangers",None,Pizza
525422,2,3,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,spiderman,soda,Friends,None,Pizza
602560,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",25,i think about a nice chill movie with pizza maybe something like hangover.,cola,Friends,A moderate amount (medium),Pizza
738379,3,9,"Weekend lunch,At a party",20,teenage mutant ninja turtles,tea,"Parents,Siblings,Friends",A little (mild),Pizza
622023,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3,ninja turtles,soda,Friends,None,Pizza
604770,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,spiderman,soda,Friends,A little (mild),Pizza
608318,2,6,"Week day dinner,Weekend dinner,At a party,Late night snack",5,ratatouille,wine,Friends,None,Pizza
626757,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,spiderman,soda,"Friends,Strangers",A lot (hot),Pizza
745297,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7,teenage mutant ninja turtles,soda,"Parents,Friends,Teachers",None,Pizza
627599,4,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",5,deadpool,soda,"Parents,Siblings,Friends,Teachers",None,Pizza
520037,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,home alone,soda,"Friends,Teachers,Strangers",None,Pizza
632189,2,4,"Week day lunch,Weekend lunch,At a party,Late night snack",3,spider man,soda,Friends,None,Pizza
627636,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.5,spy kids 3d,soda,Friends,None,Pizza
295428,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,squid game,soft drink,"Siblings,Friends,Teachers,Strangers",None,Pizza
228777,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,running man,soda,Teachers,None,Pizza
609278,3,6,"Week day lunch,Week day dinner,At a party,Late night snack",5,ratatouille,soda,"Parents,Siblings,Friends,Teachers",None,Pizza
614089,2,4,"Week day dinner,Weekend dinner,At a party,Late night snack",20,the godfather,soda,Siblings,None,Pizza
607517,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14,recep ivedik 2,soda,"Siblings,Friends",A little (mild),Pizza
714607,3,6,"Week day lunch,Weekend dinner,At a party,Late night snack",5,venom,soda,"Siblings,Friends",None,Pizza
716650,4,15,"Week day dinner,At a party,Late night snack",15,"i usually associate this item with the winter because school parties would frequently order this food item. hence, i would say the polar express, elf, and home alone.",soda,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
497695,2,4,"Weekend dinner,At a party,Late night snack",5,moneyball,soda,Friends,A little (mild),Pizza
496858,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,"home alone! when the delivery guy delivers a cheese pizza ""little nero's pizza"" through the back door for kevin, when he gets stuck home alone!",kombucha,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
608688,2,3,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,"inside out, teenage mutant ninja turtles",soda,"Parents,Siblings,Friends,Teachers",None,Pizza
604386,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,ratatouille,soft drink,"Parents,Friends",None,Pizza
628559,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,avengers 1,soda,Friends,None,Pizza
715152,3,7,"Weekend lunch,Weekend dinner,At a party,Late night snack",7,"hangover, or any teen party movies which features a lot of sweet stuff.",soda,Friends,None,Pizza
604110,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,home alone,soda,"Parents,Friends",None,Pizza
629010,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,coraline,tea,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
605254,2,5,"Week day dinner,At a party,Late night snack",4,none,soda,Friends,A moderate amount (medium),Pizza
628990,3,5,"Week day lunch,Week day dinner,At a party",6,life if pi,soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
625295,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,home alone,soda,Friends,None,Pizza
603415,3,6,"Week day lunch,Weekend lunch,At a party,Late night snack",4.5,home alone,soda,Friends,A little (mild),Pizza
635533,2,6,"Week day lunch,Late night snack",15,james bond 007,soda,Friends,A little (mild),Pizza
630389,1,3,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,sam raimi's spider man,milk,Friends,A lot (hot),Pizza
714901,4,7,"Week day lunch,Weekend lunch,At a party",5,cloudy with a chance of meatballs,soda,Friends,A moderate amount (medium),Pizza
629792,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,the goofy movie,None,"Parents,Siblings,Friends",None,Pizza
629025,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,teenage mutant ninja turtles,soda,"Friends,Strangers",None,Pizza
524441,3,6,"Week day lunch,Weekend lunch,At a party",10,teenage mutant ninja turtles,ginger ale,"Siblings,Friends",None,Pizza
389109,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18,cloudy with a chance of meatballs,soda,Friends,None,Pizza
631216,2,5,"Week day lunch,At a party",6,a quiet place 2,soda,Friends,A moderate amount (medium),Pizza
738875,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,home alone,milk,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
634669,1,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2.29,carry-on,soda,"Parents,Siblings,Friends,Teachers",None,Pizza
409940,3,6,"Week day dinner,At a party",8,spiderman,soda,"Parents,Friends",A moderate amount (medium),Pizza
399605,2,5,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5,teenage mutant ninja turtles,soda,"Parents,Friends",None,Pizza
721831,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,home alone,soda,"Parents,Siblings,Friends",None,Pizza
835223,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,set it up,soda,"Friends,Strangers",A moderate amount (medium),Pizza
712938,3,5,"Week day dinner,Weekend dinner",15,green book,soda,Friends,None,Pizza
395712,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,teenage mutant ninja turtles,pop,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
603388,2,7,"Week day lunch,At a party,Late night snack",12,garfield,soda,Friends,A little (mild),Pizza
617774,3,3,"Week day lunch,Week day dinner,Weekend lunch,At a party",22.99,cars,tea,"Parents,Teachers",None,Pizza
289440,3,5,"Week day lunch,At a party,Late night snack",4,teenage mutant ninja turtles,soda,"Friends,Strangers",A moderate amount (medium),Pizza
714503,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15,"relaxing, comedy",cola,Friends,I will have some of this food item with my hot sauce,Pizza
714893,2,5,"Week day lunch,Weekend lunch,At a party",5,home alone 2,soda,"Siblings,Friends",A moderate amount (medium),Pizza
601094,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.5,teenage mutant ninja turtles,soda,"Siblings,Friends",None,Pizza
618150,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",25,home alone,soda,"Siblings,Friends",A moderate amount (medium),Pizza
607944,2,5,"Week day dinner,Weekend lunch,At a party,Late night snack",5,spiderman,milk,Friends,None,Pizza
629844,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,ratatouille,juice,"Parents,Siblings,Friends,Teachers",None,Pizza
626482,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,the godfather,None,Friends,None,Pizza
609257,2,5,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",6,high school musical,root beer,"Siblings,Friends,Teachers",None,Pizza
717921,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,zootopia,lemonade,"Friends,Teachers",A little (mild),Pizza
181851,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,none,soda,Friends,A lot (hot),Pizza
629041,1,3,"Week day lunch,At a party,Late night snack",7,home alone,soda,"Friends,Strangers",None,Pizza
604062,4,4,"Week day dinner,Weekend dinner,At a party,Late night snack",15,"honestly any movie, pizza is a movie food.",soft drink,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
716749,3,4,"Week day lunch,Late night snack",15,no,water,Strangers,A little (mild),Pizza
633143,3,8,"Week day lunch,Weekend lunch,At a party,Late night snack",5,teenage mutant ninja turtles,soft drink,Friends,None,Pizza
743828,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,mario movie,soda,"Friends,Strangers",A moderate amount (medium),Pizza
520861,3,4,"Week day lunch,Weekend lunch,At a party,Late night snack",12,ratatouille,soda,Friends,None,Pizza
517019,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,30 minutes or less,soda,"Parents,Siblings,Friends,Teachers",None,Pizza
