id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
118084,3,5,Weekend lunch,9,Coco,Lemonade,Teachers;Friends,A little (mild),Shawarma
118221,4,6,Weekend dinner;At a party,10,Moana,Root Beer,Parents;Teachers,A moderate amount (medium),Pizza
118358,5,7,At a party,11,Deadpool,Fanta,Siblings,A lot (hot),Sushi
118495,1,8,Late night snack;Week day lunch,12,Harry Potter,Ginger Ale,Friends,A little (mild),Shawarma
118632,2,9,Week day lunch;Weekend dinner,13,Guardians,Coke,Teachers,A moderate amount (medium),Pizza
118769,3,10,Weekend dinner,14,Dune,Sprite,Friends;Parents,A lot (hot),Sushi
118906,4,11,At a party;Weekend lunch,15,Mulan,Pepsi,Teachers,A little (mild),Shawarma
119043,5,12,Weekend lunch;At a party;Late night snack,16,Casablanca,Water,Siblings;Friends,A moderate amount (medium),Pizza
119180,1,13,At a party,17,Matrix Reloaded,Orange Juice,Teachers,A lot (hot),Sushi
119317,2,14,Late night snack;Week day lunch,18,Avengers,Lemonade,Friends;Teachers,A little (mild),Shawarma
119454,3,15,Week day lunch;Weekend dinner,19,Inception,Root Beer,Parents,A moderate amount (medium),Pizza
119591,4,3,Weekend dinner;At a party,20,The Godfather,Fanta,Siblings,A lot (hot),Sushi
119728,5,4,At a party;Late night snack,5,Shazam,Ginger Ale,Teachers,A little (mild),Shawarma
119865,1,5,Late night snack,6,Frozen,Coke,Friends,A moderate amount (medium),Pizza
120002,2,6,Week day lunch;Weekend lunch,7,Titanic,Sprite,Teachers,A lot (hot),Sushi
120139,3,7,Weekend lunch;At a party,8,Jurassic Park,Pepsi,Friends;Siblings,A little (mild),Shawarma
120276,4,8,At a party,9,The Matrix,Water,Teachers,A moderate amount (medium),Pizza
120413,5,9,Late night snack;Week day lunch;Weekend dinner,10,Star Wars,Orange Juice,Siblings,A lot (hot),Sushi
120550,1,10,Week day lunch,11,Interstellar,Lemonade,Friends,A little (mild),Shawarma
120687,2,11,Week day dinner;At a party,12,The Lion King,Root Beer,Teachers;Parents,A moderate amount (medium),Pizza
120824,3,12,Weekend lunch;Weekend dinner,13,Coco,Fanta,Friends,A lot (hot),Sushi
120961,4,13,Weekend dinner;At a party,14,Moana,Ginger Ale,Teachers,A little (mild),Shawarma
121098,5,14,At a party;Late night snack,15,Deadpool,Coke,Friends;Siblings,A moderate amount (medium),Pizza
121235,1,15,Late night snack,16,Harry Potter,Sprite,Teachers,A lot (hot),Sushi
121372,2,3,Week day lunch;Weekend lunch,17,Guardians,Pepsi,Friends,A little (mild),Shawarma
121509,3,4,Weekend lunch;At a party,18,Dune,Water,Teachers;Friends,A moderate amount (medium),Pizza
121646,4,5,At a party;Late night snack;Week day dinner,19,Mulan,Orange Juice,Siblings,A lot (hot),Sushi
121783,5,6,Late night snack,20,Casablanca,Lemonade,Teachers,A little (mild),Shawarma
121920,1,7,Week day lunch;Weekend lunch,5,Matrix Reloaded,Root Beer,Friends;Teachers,A moderate amount (medium),Pizza
122057,2,8,Weekend lunch,6,Avengers,Fanta,Parents,A lot (hot),Sushi
122194,3,9,At a party;Week day lunch,7,Inception,Ginger Ale,Teachers;Friends,A little (mild),Shawarma
122331,4,10,Week day lunch;Weekend dinner,8,The Godfather,Coke,Siblings,A moderate amount (medium),Pizza
122468,5,11,Weekend dinner,9,Shazam,Sprite,Teachers,A lot (hot),Sushi
122605,1,12,At a party;Late night snack,10,Frozen,Pepsi,Friends,A little (mild),Shawarma
122742,2,13,Late night snack,11,Titanic,Water,Teachers;Friends,A moderate amount (medium),Pizza
122879,3,14,Week day dinner;At a party,12,Jurassic Park,Orange Juice,Siblings,A lot (hot),Sushi
123016,4,15,At a party,13,The Matrix,Lemonade,Teachers,A little (mild),Shawarma
123153,5,3,Late night snack;Weekend lunch,14,Star Wars,Root Beer,Friends;Teachers,A moderate amount (medium),Pizza
123290,1,4,Weekend lunch;At a party;Week day dinner,15,Interstellar,Fanta,Teachers;Siblings;Parents,A lot (hot),Sushi
123427,2,5,At a party,16,The Lion King,Ginger Ale,Friends,A little (mild),Shawarma
123564,3,6,Late night snack;Week day lunch,17,Coco,Coke,Teachers;Friends,A moderate amount (medium),Pizza
123701,4,7,Week day lunch;Weekend dinner,18,Moana,Sprite,Parents,A lot (hot),Sushi
123838,5,8,Weekend dinner;At a party,19,Deadpool,Pepsi,Teachers,A little (mild),Shawarma
123975,1,9,At a party,20,Harry Potter,Water,Siblings,A moderate amount (medium),Pizza
124112,2,10,Late night snack;Week day lunch,5,Guardians,Orange Juice,Teachers,A lot (hot),Sushi
124249,3,11,Week day lunch;At a party,6,Dune,Lemonade,Friends;Teachers,A little (mild),Shawarma
124386,4,12,At a party;Weekend lunch;Week day dinner,7,Mulan,Root Beer,Teachers;Friends,A moderate amount (medium),Pizza
124523,5,13,Weekend lunch,8,Casablanca,Fanta,Siblings,A lot (hot),Sushi
124660,1,14,Weekend dinner;At a party,9,Matrix Reloaded,Ginger Ale,Friends,A little (mild),Shawarma
124797,2,15,At a party;Late night snack,10,Avengers,Coke,Teachers,A moderate amount (medium),Pizza
124934,3,3,Late night snack;Week day lunch,11,Inception,Sprite,Siblings,A lot (hot),Sushi
125071,4,4,Week day lunch;Weekend dinner,12,The Godfather,Pepsi,Teachers,A little (mild),Shawarma
125208,5,5,Weekend dinner,13,Shazam,Water,Friends,A moderate amount (medium),Pizza
125345,1,6,At a party;Weekend lunch,14,Frozen,Orange Juice,Teachers;Friends,A lot (hot),Sushi
125482,2,7,Weekend lunch,15,Titanic,Lemonade,Siblings,A little (mild),Shawarma
125619,3,8,At a party;Late night snack,16,Jurassic Park,Root Beer,Teachers,A moderate amount (medium),Pizza
125756,4,9,Late night snack;Week day lunch,17,The Matrix,Fanta,Friends;Teachers,A lot (hot),Sushi
125893,5,10,Week day lunch;Weekend dinner;At a party,18,Star Wars,Ginger Ale,Teachers;Siblings,A little (mild),Shawarma
126030,1,11,Weekend dinner,19,Interstellar,Coke,Friends,A moderate amount (medium),Pizza
126167,2,12,At a party;Week day lunch,20,The Lion King,Sprite,Teachers,A lot (hot),Sushi
126304,3,13,Week day lunch;At a party,5,Coco,Pepsi,Siblings,A little (mild),Shawarma
126441,4,14,At a party;Late night snack,6,Moana,Water,Teachers;Friends,A moderate amount (medium),Pizza
126578,5,15,Late night snack,7,Deadpool,Orange Juice,Friends,A lot (hot),Sushi
126715,1,3,Week day lunch,8,Harry Potter,Lemonade,Teachers,A little (mild),Shawarma
126852,2,4,Week day dinner;Weekend lunch,9,Guardians,Root Beer,Siblings,A moderate amount (medium),Pizza
126989,3,5,Weekend lunch,10,Dune,Fanta,Teachers;Friends,A lot (hot),Sushi
127126,4,6,Weekend lunch;At a party,11,Mulan,Ginger Ale,Parents,A little (mild),Shawarma
127263,5,7,At a party;Late night snack,12,Casablanca,Coke,Teachers,A moderate amount (medium),Pizza
127400,1,8,Late night snack,13,Matrix Reloaded,Sprite,Friends;Teachers,A lot (hot),Sushi
127537,2,9,Week day lunch;Weekend dinner,14,Avengers,Pepsi,Parents,A little (mild),Shawarma
127674,3,10,Weekend dinner;At a party,15,Inception,Water,Siblings,A moderate amount (medium),Pizza
127811,4,11,At a party;Late night snack;Week day lunch,16,The Godfather,Orange Juice,Teachers;Friends,A lot (hot),Sushi
127948,5,12,Late night snack,17,Shazam,Lemonade,Parents,A little (mild),Shawarma
128085,1,13,Week day lunch;Weekend lunch,18,Frozen,Root Beer,Teachers;Siblings,A moderate amount (medium),Pizza
128222,2,14,Weekend lunch;At a party,19,Titanic,Fanta,Friends,A lot (hot),Sushi
128359,3,15,At a party;Late night snack,20,Jurassic Park,Ginger Ale,Teachers,A little (mild),Shawarma
128496,4,3,Late night snack;Week day lunch,5,The Matrix,Coke,Friends;Teachers,A moderate amount (medium),Pizza
128633,5,4,Week day lunch;At a party,6,Star Wars,Sprite,Parents,A lot (hot),Sushi
128770,1,5,At a party,7,Interstellar,Pepsi,Siblings,A little (mild),Shawarma
128907,2,6,Week day dinner;Weekend lunch,8,The Lion King,Water,Teachers,A moderate amount (medium),Pizza
129044,3,7,Weekend lunch,9,Coco,Orange Juice,Friends,A lot (hot),Sushi
129181,4,8,Weekend dinner;At a party,10,Moana,Lemonade,Teachers;Friends,A little (mild),Shawarma
129318,5,9,At a party;Late night snack,11,Deadpool,Root Beer,Siblings,A moderate amount (medium),Pizza
129455,1,10,Late night snack,12,Harry Potter,Fanta,Teachers,A lot (hot),Sushi
129592,2,11,Week day lunch;Weekend dinner,13,Guardians,Ginger Ale,Friends;Teachers,A little (mild),Shawarma
129729,3,12,Weekend dinner,14,Dune,Coke,Parents,A moderate amount (medium),Pizza
129866,4,13,At a party;Week day lunch,15,Mulan,Sprite,Friends;Siblings,A lot (hot),Sushi
130003,5,14,Week day lunch;At a party;Late night snack,16,Casablanca,Pepsi,Teachers,A little (mild),Shawarma
130140,1,15,At a party,17,Matrix Reloaded,Water,Friends,A moderate amount (medium),Pizza
130277,2,3,Late night snack;Week day lunch,18,Avengers,Orange Juice,Teachers;Friends,A lot (hot),Sushi
130414,3,4,Week day lunch,19,Inception,Lemonade,Siblings,A little (mild),Shawarma
130551,4,5,Weekend lunch;At a party,20,The Godfather,Root Beer,Teachers,A moderate amount (medium),Pizza
130688,5,6,At a party;Late night snack,5,Shazam,Fanta,Friends,A lot (hot),Sushi
130825,1,7,Late night snack,6,Frozen,Ginger Ale,Teachers,A little (mild),Shawarma
130962,2,8,Week day dinner;Weekend lunch,7,Titanic,Coke,Friends;Teachers,A moderate amount (medium),Pizza
131099,3,9,Weekend lunch;At a party,8,Jurassic Park,Sprite,Parents,A lot (hot),Sushi
131236,4,10,At a party,9,The Matrix,Pepsi,Teachers,A little (mild),Shawarma
131373,5,11,Late night snack;Week day dinner,10,Star Wars,Water,Siblings,A moderate amount (medium),Pizza
131510,1,12,Week day dinner;At a party;Weekend lunch,11,Interstellar,Orange Juice,Teachers;Friends,A lot (hot),Sushi
131647,2,13,At a party,12,The Lion King,Lemonade,Parents,A little (mild),Shawarma
131784,3,14,Late night snack;Week day lunch,13,Coco,Root Beer,Teachers;Friends,A moderate amount (medium),Pizza
131921,4,15,Week day lunch;At a party,14,Moana,Fanta,Siblings,A lot (hot),Sushi
132058,5,3,At a party;Late night snack;Week day dinner,15,Deadpool,Ginger Ale,Teachers,A little (mild),Shawarma
132195,1,4,Late night snack,16,Harry Potter,Coke,Friends,A moderate amount (medium),Pizza
132332,2,5,Week day lunch;Weekend lunch,17,Guardians,Sprite,Teachers,A lot (hot),Sushi
132469,3,6,Weekend lunch;At a party,18,Dune,Pepsi,Siblings,A little (mild),Shawarma
132606,4,7,At a party;Late night snack,19,Mulan,Water,Teachers,A moderate amount (medium),Pizza
132743,5,8,Late night snack,20,Casablanca,Orange Juice,Friends;Teachers,A lot (hot),Sushi
132880,1,9,Week day lunch;Weekend dinner,5,Matrix Reloaded,Lemonade,Teachers,A little (mild),Shawarma
133017,2,10,Weekend dinner;At a party,6,Avengers,Root Beer,Friends,A moderate amount (medium),Pizza
133154,3,11,At a party,7,Inception,Fanta,Siblings,A lot (hot),Sushi
133291,4,12,Late night snack;Week day lunch,8,The Godfather,Ginger Ale,Teachers;Friends,A little (mild),Shawarma
133428,5,13,Week day lunch,9,Shazam,Coke,Parents,A moderate amount (medium),Pizza
133565,1,14,Week day dinner;At a party,10,Frozen,Sprite,Teachers,A lot (hot),Sushi
133702,2,15,At a party;Late night snack,11,Titanic,Pepsi,Friends;Teachers,A little (mild),Shawarma
133839,3,3,Late night snack,12,Jurassic Park,Water,Siblings,A moderate amount (medium),Pizza
133976,4,4,Week day lunch;Weekend lunch,13,The Matrix,Orange Juice,Teachers;Friends,A lot (hot),Sushi
134113,5,5,Weekend lunch;At a party,14,Star Wars,Lemonade,Parents,A little (mild),Shawarma
134250,1,6,At a party;Late night snack;Week day lunch,15,Interstellar,Root Beer,Teachers,A moderate amount (medium),Pizza
134387,2,7,Late night snack,16,The Lion King,Fanta,Friends;Teachers,A lot (hot),Sushi
134524,3,8,Week day dinner;At a party,17,Coco,Ginger Ale,Teachers,A little (mild),Shawarma
134661,4,9,At a party;Weekend lunch,18,Moana,Coke,Friends;Teachers,A moderate amount (medium),Pizza
134798,5,10,Weekend lunch;Late night snack,19,Deadpool,Sprite,Teachers,A lot (hot),Sushi
134935,1,11,Late night snack,20,Harry Potter,Pepsi,Siblings,A little (mild),Shawarma
135072,2,12,Week day lunch;At a party,5,Guardians,Water,Teachers,A moderate amount (medium),Pizza
135209,3,13,At a party;Weekend dinner,6,Dune,Orange Juice,Friends;Teachers,A lot (hot),Sushi
135346,4,14,Weekend dinner,7,Mulan,Lemonade,Teachers,A little (mild),Shawarma
135483,5,15,At a party;Late night snack,8,Casablanca,Root Beer,Friends,A moderate amount (medium),Pizza
135620,1,3,Late night snack;Week day lunch;Weekend dinner,9,Matrix Reloaded,Fanta,Teachers;Friends;Parents,A lot (hot),Sushi
135757,2,4,Week day lunch,10,Avengers,Ginger Ale,Teachers,A little (mild),Shawarma
135894,3,5,Weekend lunch;At a party,11,Inception,Coke,Friends;Teachers,A moderate amount (medium),Pizza
136031,4,6,At a party;Late night snack,12,The Godfather,Sprite,Teachers,A lot (hot),Sushi
136168,5,7,Late night snack,13,Shazam,Pepsi,Friends,A little (mild),Shawarma
136305,1,8,Week day lunch;At a party,14,Frozen,Water,Teachers,A moderate amount (medium),Pizza
136442,2,9,At a party;Weekend lunch,15,Titanic,Orange Juice,Friends;Teachers,A lot (hot),Sushi
136579,3,10,Weekend lunch,16,Jurassic Park,Lemonade,Siblings,A little (mild),Shawarma
136716,4,11,Weekend lunch;At a party;Week day dinner,17,The Matrix,Root Beer,Teachers;Friends,A moderate amount (medium),Pizza
136853,5,12,At a party,18,Star Wars,Fanta,Friends,A lot (hot),Sushi
